Timestamp,hour,dayofweek,month,year,dayofyear,Temperature,Humidity,Demand
01-Jan-20,0,2,1,2020,1,3,61.28895133,2457.119872
01-Jan-20,1,2,1,2020,1,3,52.87370188,2269.904712
01-Jan-20,2,2,1,2020,1,4.244481524,36.34178252,2215.640403
01-Jan-20,3,2,1,2020,1,3,72.62937755,2174.232413
01-Jan-20,4,2,1,2020,1,3.881207759,90.58244351,2472.453006
01-Jan-20,5,2,1,2020,1,10.82257105,67.75343321,3104.845505
01-Jan-20,6,2,1,2020,1,6.306673322,94.91259116,3759.476912
01-Jan-20,7,2,1,2020,1,7.464640228,74.45685967,4114.486001
01-Jan-20,8,2,1,2020,1,14.74687644,66.72500515,4575.159503
01-Jan-20,9,2,1,2020,1,19.73825392,55.03616034,4512.169696
01-Jan-20,10,2,1,2020,1,21.44724451,69.31796175,4622.245785
01-Jan-20,11,2,1,2020,1,18.28490594,56.4143475,4240.094906
01-Jan-20,12,2,1,2020,1,20.21957278,48.9417152,4439.2403
01-Jan-20,13,2,1,2020,1,20.30584508,70.65464651,4758.538052
01-Jan-20,14,2,1,2020,1,14.87428435,55.95688534,4457.071914
01-Jan-20,15,2,1,2020,1,13.86884061,37.03292755,4393.986282
01-Jan-20,16,2,1,2020,1,14.52490746,36.95170271,4730.327617
01-Jan-20,17,2,1,2020,1,13.47973025,39.36372825,4838.64362
01-Jan-20,18,2,1,2020,1,8.93562392,50.04983462,4934.749367
01-Jan-20,19,2,1,2020,1,3,75.05193799,4579.005683
01-Jan-20,20,2,1,2020,1,3.835711599,44.73764899,4424.292539
01-Jan-20,21,2,1,2020,1,3,59.66619512,3890.171574
01-Jan-20,22,2,1,2020,1,3,56.57165355,3213.228194
01-Jan-20,23,2,1,2020,1,3,51.48712148,2622.193016
02-Jan-20,0,3,1,2020,2,3,54.02277398,2322.713512
02-Jan-20,1,3,1,2020,2,3.140919326,59.97432438,2240.262042
02-Jan-20,2,3,1,2020,2,3,62.30774327,2181.594193
02-Jan-20,3,3,1,2020,2,5.206455222,63.3261541,2381.989864
02-Jan-20,4,3,1,2020,2,3.454379703,55.06609619,2400.170086
02-Jan-20,5,3,1,2020,2,3.686492676,63.73995431,2893.752203
02-Jan-20,6,3,1,2020,2,7.395673655,65.16994681,3715.2587
02-Jan-20,7,3,1,2020,2,13.21672352,65.19401804,4425.655009
02-Jan-20,8,3,1,2020,2,21.09908692,61.79149703,4823.971042
02-Jan-20,9,3,1,2020,2,21.38280238,68.73057039,4786.98924
02-Jan-20,10,3,1,2020,2,18.24153603,72.36757129,4376.871163
02-Jan-20,11,3,1,2020,2,21.51195574,62.69056467,4466.270598
02-Jan-20,12,3,1,2020,2,23.37402604,59.83420158,4642.482585
02-Jan-20,13,3,1,2020,2,19.84889928,64.61235037,4527.388062
02-Jan-20,14,3,1,2020,2,17.04251876,47.26878201,4559.255349
02-Jan-20,15,3,1,2020,2,10.5479969,48.68492062,4550.175816
02-Jan-20,16,3,1,2020,2,16.6140119,47.59049056,5001.795597
02-Jan-20,17,3,1,2020,2,12.60065478,54.70244754,4836.225745
02-Jan-20,18,3,1,2020,2,9.879486375,61.29659312,5005.78351
02-Jan-20,19,3,1,2020,2,9.877812519,39.57582364,4710.017294
02-Jan-20,20,3,1,2020,2,6.073462997,63.23802269,4280.036924
02-Jan-20,21,3,1,2020,2,3.674463388,53.99667865,3741.73921
02-Jan-20,22,3,1,2020,2,6.780675834,45.65519744,3165.911593
02-Jan-20,23,3,1,2020,2,3,58.9978196,2862.462499
03-Jan-20,0,4,1,2020,3,3,80.52565258,2571.783765
03-Jan-20,1,4,1,2020,3,3,65.47368721,2453.992412
03-Jan-20,2,4,1,2020,3,3,51.32700394,2202.074141
03-Jan-20,3,4,1,2020,3,3,74.05055489,2167.156133
03-Jan-20,4,4,1,2020,3,9.124920597,53.13766246,2537.102651
03-Jan-20,5,4,1,2020,3,9.963435593,47.90313425,3092.082022
03-Jan-20,6,4,1,2020,3,5.692420606,62.32762527,3707.728792
03-Jan-20,7,4,1,2020,3,15.52811367,69.1260942,4377.816316
03-Jan-20,8,4,1,2020,3,14.7812017,69.71875777,4670.961507
03-Jan-20,9,4,1,2020,3,16.63617374,70.12174955,4356.172992
03-Jan-20,10,4,1,2020,3,19.54740292,50.97778325,4292.900548
03-Jan-20,11,4,1,2020,3,20.56644382,59.57806958,4379.307485
03-Jan-20,12,4,1,2020,3,19.3734274,51.75056741,4530.196895
03-Jan-20,13,4,1,2020,3,18.72526246,74.04260692,4752.12127
03-Jan-20,14,4,1,2020,3,16.39863065,66.19603709,4725.775472
03-Jan-20,15,4,1,2020,3,20.19355462,37.85214943,4775.815004
03-Jan-20,16,4,1,2020,3,15.04638675,47.08269269,4798.940846
03-Jan-20,17,4,1,2020,3,14.81457323,64.00980964,4965.525237
03-Jan-20,18,4,1,2020,3,10.52930101,54.937285,5055.307058
03-Jan-20,19,4,1,2020,3,3,52.97617426,4549.320998
03-Jan-20,20,4,1,2020,3,3,61.59210727,4197.742003
03-Jan-20,21,4,1,2020,3,3,51.13029025,3719.09585
03-Jan-20,22,4,1,2020,3,3.828923286,60.92574959,3064.642066
03-Jan-20,23,4,1,2020,3,3,57.48434577,2936.766794
04-Jan-20,0,5,1,2020,4,3,60.95536276,2067.352696
04-Jan-20,1,5,1,2020,4,3,66.49407298,2138.504702
04-Jan-20,2,5,1,2020,4,3,56.39819903,1880.418696
04-Jan-20,3,5,1,2020,4,4.474526078,60.60349981,2005.823854
04-Jan-20,4,5,1,2020,4,7.738184136,65.80882534,2203.720413
04-Jan-20,5,5,1,2020,4,11.06177212,65.83700387,2706.78803
04-Jan-20,6,5,1,2020,4,8.962081507,71.13955449,3366.827941
